"Latest: Wavelength (nm)","Latest: Intensity (rel)"
583.3,0.0800274238532
584.1,0.0682143977349
584.9,0.0594735213584
585.7,0.0525442299704
586.5,0.0505554707832
587.3,0.0562742131007
588.1,0.065163441079
588.9,0.0724021515221
589.6,0.0718189177963
590.4,0.0640859845884
591.1,0.0576076820698
591.8,0.0588072107356
592.6,0.0671988250553
593.3,0.0790457601112
594.1,0.0879680493036
594.8,0.0898143909531
595.6,0.0840990395293
596.3,0.0797146139044
597.1,0.0818279884371
597.8,0.0892633707179
598.5,0.0902357095021
599.3,0.0836505938303
600,0.0730175987386
600.8,0.0685695938557
601.5,0.0764118833872
602.3,0.0963766180921
603,0.11743661148
603.7,0.120453659198
604.5,0.103709425837
605.2,0.0830792282326
606,0.0753980061545
606.7,0.0813396997364
607.5,0.08914553716
608.2,0.0934519722286
609,0.0905425853869
609.7,0.0822705000721
610.4,0.0701378822173
611.2,0.0616784500225
611.9,0.0619870213542
612.7,0.0718621516916
613.4,0.0795179420666
614.2,0.0798502496546
614.9,0.0706736434306
615.7,0.0603797377144
616.4,0.0533555013013
617.1,0.0508826920306
617.9,0.0499841051855
618.6,0.0484437916974
619.4,0.0459625051923
620.1,0.0435261480295
620.9,0.041133024762
621.6,0.040317514814
622.3,0.0407218788942
623.1,0.0426385815891
623.8,0.0421994608479
624.6,0.0383380805846
625.3,0.0328685689581
626.1,0.0297803124709
626.8,0.0295709247815
627.6,0.030338962217
628.3,0.0307280672753
629,0.0303771097717
629.8,0.0292632011732
630.5,0.0283824165204
631.3,0.0285663725066
632,0.029024990887
632.8,0.0287554148335
633.5,0.0285875655926
634.3,0.0273795596924
635,0.0264055254614
635.7,0.0248533438451
636.5,0.024557488365
637.2,0.0248592779092
638,0.0250491679594
638.7,0.0246575197308
639.5,0.0242540033739
640.2,0.0240090113002
640.9,0.0241683833066
641.7,0.0239818841501
642.4,0.0245727473869
643.2,0.0246651492417
643.9,0.0249389639124
644.7,0.0243921822944
645.4,0.0249126844858
646.2,0.0247389011809
646.9,0.0248889482295
647.6,0.0245854632385
648.4,0.0251636106237
649.1,0.026078304214
649.9,0.0281348812763
650.6,0.0310569839695
651.4,0.0361874062206
652.1,0.046471986979
652.9,0.0919057246764
653.6,0.236881691717
654.3,0.534371582615
655.1,0.807926002221
655.8,0.964742970253
656.6,0.977253672762
657.3,0.977253672762
658.1,0.853627620525
658.8,0.584620389444
659.5,0.278497283046
660.3,0.0989528496223
661,0.0476723633682
661.8,0.0328397463611
662.5,0.0285901087629
663.3,0.027081161042
664,0.0256798741978
664.8,0.024460847893
665.5,0.0234257775743
666.2,0.0228688232751
667,0.0226789332248
667.8,0.0219897340692
668.5,0.0216896399719
669.2,0.0214844908997
670,0.0218354484033
670.7,0.0221753855022
671.5,0.0221931876944
672.2,0.021119969821
672.9,0.0199526546459
673.7,0.0200247111382
674.4,0.0206138789281
675.2,0.0205960767359
675.9,0.0193685731967
676.7,0.0193719640904
677.4,0.0189277570086
678.1,0.0198475369395
678.9,0.0198432983224
679.6,0.0204816340717
680.4,0.0200798131618
681.1,0.0193838322186
681.9,0.0194067207514
682.6,0.0195203156922
683.3,0.0191939421683
684.1,0.0189396251367
684.8,0.018547976908
685.6,0.0190193111399
686.3,0.019011681629
687.1,0.0194160457092
687.8,0.0189455592008
688.5,0.0187310851708
689.3,0.0179969566729
690,0.0187344760645
690.8,0.0179435500962
691.5,0.0181292015293
692.3,0.0174383069267
693,0.0179783067572
693.7,0.0181809126591
694.5,0.0179359205853
695.2,0.017794350771
696,0.017054288209
696.7,0.0174713681409
697.5,0.0169381500979
698.2,0.0170432678043
698.9,0.0165583699974
699.7,0.0172772394734
700.4,0.0177443350881
701.2,0.0183402846655
701.9,0.0182834871951
702.7,0.0178892957961
703.4,0.0176103947848
704.1,0.0171797512779
704.9,0.0173314937735
705.6,0.0176273492536
706.4,0.0177138170443
707.1,0.017413722947
707.9,0.0173077575172
708.7,0.0179664386291
709.5,0.0184479455422
710.3,0.0181910853403
711,0.0177621372803
711.8,0.0174806930987
712.6,0.0173433619016
713.4,0.0170339428465
714.1,0.016667726321
714.9,0.0164362978222
715.7,0.0166558581928
716.5,0.0170839585294
717.3,0.0176349787645
718,0.0176739740427
718.8,0.0180732517823
719.6,0.018070708612
720.4,0.0181707399778
721.2,0.0181207242949
721.9,0.0175095156956
722.7,0.0177350101303
723.5,0.0176553241271
724.3,0.0183962344125
725.1,0.0185954494206
725.8,0.0185784949518
726.6,0.0188260301959
727.4,0.0188811322194
728.2,0.0192600645965
728.9,0.0188845231132
729.7,0.0190176156931
730.5,0.0189837067555
731.3,0.0202866576808
732.1,0.0201272856743
732.8,0.0194313047311
733.6,0.0185327178861
734.4,0.0185674745471
735.2,0.0189108025398
736,0.019004052118
736.7,0.0189192797742
737.5,0.0187022625739
738.3,0.0183572391343
739.1,0.0182902689826
739.8,0.0183089188983
740.6,0.0177256851725
741.4,0.0172119647686
742.2,0.0177477259819
743,0.0185751040581
743.7,0.0190455905665
744.5,0.0191388401448
745.3,0.0190472860134
746.1,0.0201493264837
746.9,0.0203807549825
747.6,0.0210063748803
748.4,0.0200755745446
749.2,0.0203290438527
750,0.0196313674627
750.8,0.0193609436857
751.5,0.0194245229436
752.3,0.0206723718454
753.1,0.02145990692
753.9,0.0213098598713
754.6,0.0207189966345
755.4,0.0210089180506
756.2,0.0211598128227
757,0.0214344752168
757.8,0.0207045853361
758.5,0.0205689495859
759.3,0.0206240516094
760.1,0.0211123403101
760.9,0.0213276620635
761.7,0.0220482269864
762.4,0.0223178030399
763.2,0.0223457779134
764,0.0211699855039
764.8,0.0198043030442
765.5,0.0191998762324
766.3,0.019087129015
767.1,0.0202035807838
767.9,0.0208046167018
768.7,0.0210911472241
769.4,0.0207927485737
770.2,0.0204757000076
771,0.019861948238
771.8,0.0195287929266
772.6,0.0191396878682
773.3,0.0193948526233
774.1,0.0192456532981
774.9,0.0188412892178
775.7,0.0179715249697
776.5,0.0173967684783
777.2,0.0172568941109
778,0.0171034561685
778.8,0.0170975221044
779.6,0.0173967684783
780.3,0.0174984952909
781.1,0.0179791544806
781.9,0.0179138797759
782.7,0.0178960775836
783.5,0.0177697667913
784.2,0.0171560150217
785,0.0169830794402
785.8,0.0167363919195
786.6,0.0165685426786
787.4,0.0158937548214
788.1,0.0156419809601
788.9,0.0158106779244
789.7,0.0163710231174
790.5,0.0163947593737
791.2,0.0163862821393
792,0.016348982308
792.8,0.0164964861863
793.6,0.0159937861872
794.4,0.0160904266592
795.1,0.016010740656
795.9,0.0166745081085
796.7,0.0166490764053
797.5,0.0169322160338
798.3,0.0167838644321
799,0.0168618549884
799.8,0.0164379932691
800.6,0.0160904266592
801.4,0.0158378050745
802.2,0.0160014156981
802.9,0.0164507091207
803.7,0.0164481659503
804.5,0.0166651831506
805.3,0.0163523732018
806,0.0166143197443
806.8,0.0165676949552
807.6,0.0166558581928
808.4,0.0164303637581
809.2,0.0158428914151
809.9,0.0154927816349
810.7,0.0147688258183
811.5,0.0151630172173
812.3,0.0153503640972
813.1,0.0160438018701
813.8,0.0158149165416
814.6,0.0157699871994
815.4,0.0160090452091
816.2,0.0156394377898
817,0.0157555759009
817.7,0.0157564236244
818.5,0.0160124361028
819.3,0.0158242414995
820.1,0.0155419495944
820.8,0.0157454032197
821.6,0.0163091393064
822.4,0.0162676008579
823.2,0.0159497045684
824,0.0157988097963
824.7,0.0153452777566
825.5,0.0151146969813
826.3,0.0152511804549
827.1,0.0159886998466
827.9,0.0158784957995
828.6,0.0155656858506
829.4,0.0154122479082
830.2,0.016196392089
831,0.0156775853446
831.8,0.0158123733713
832.6,0.0149799089545
833.4,0.0153062824784
834.3,0.0151638649407
835.1,0.0155555131694
836,0.0156097674695
836.8,0.0154334409942
837.7,0.0153359527988
838.5,0.0151019811297
839.4,0.0151562354298
840.2,0.0151130015344
841.1,0.015622483321
841.9,0.0158657799479
842.8,0.0155767062554
843.6,0.0152232055814
844.5,0.0150451836593
845.3,0.0154978679756
846.2,0.0159954816341
847,0.0158573027136
847.9,0.0161624831515
848.7,0.0159488568449
849.6,0.0162913371142
850.4,0.0157555759009
851.3,0.0157276010274
852.1,0.0150104269983
853,0.0148434254809
853.8,0.0145958902368
854.7,0.0147595008604
855.5,0.0151816671329
856.4,0.015270678094
857.2,0.0153935979926
858.1,0.0151765807923
858.9,0.0152613531362
859.8,0.015574163085
860.6,0.015512279274
861.5,0.015367318566
862.3,0.0150985902359
863.2,0.0153096733722
864,0.0150129701686
864.9,0.0155080406568
865.7,0.0156004425116
866.6,0.0157954189025
867.4,0.0151384332375
868.3,0.0145000974882
869.1,0.0150409450421
870,0.0154147910786
870.8,0.0161065334045
871.7,0.0158530640964
872.5,0.0149527818045
873.4,0.0148993752278
874.2,0.0146230173868
875.1,0.0152384646033
875.9,0.0150604426812
876.8,0.0149544772513
877.6,0.0154563295271
878.5,0.0150528131702
879.3,0.0150460313827
880.2,0.0147823893933
881,0.0150265337436
881.9,0.0150138178921
882.7,0.0148807253122
883.6,0.0149604113154
884.4,0.0152910234565
885.3,0.0151774285157
886.1,0.0149044615685
887,0.0145467222773
887.8,0.0145679153633
888.7,0.0152995006909
889.5,0.0151943829845
890.4,0.0148730958012
891.2,0.014779846223
892.1,0.0152028602189
892.9,0.015235921433
893.8,0.0150417927655
894.6,0.0148129074371
895.5,0.014364461738
896.3,0.0137295168824
897.2,0.0134031433585
898,0.0141076015361
898.9,0.0147179624119
899.7,0.0154453091224
